"STYLE_CD","COUNT(*)"
AXPAW17471,3
AXPAW17631,4
AXPAW18114,6
AXPAW20411,6
AXPAW21222,6
AXPDA18118,3
AXPDA20211,3
AXPDA21433,5
AXPDA21434,3
AXPDM18168,3
AXPDM18191,3
AXPDM18194,4
AXPDM18262,4
AXPDM19171,3
AXPDM19191,6
AXPDW18214,8
AXPDW18215,3
AXPDW19231,3
AXPDW19233,3
AXPDW21531,3
AXPNM18111,3
AXPNM18121,3
AXSAA15722,9
AXSAA16111,4
AXSAA18111,9
AXSAA18113,3
AXSAA18115,3
AXSAM16512,3
AXSAM17215,6
AXSAM17311,6
AXSAM17423,3
AXSAM17522,4
AXSAM17523,3
AXSAM17711,3
AXSAM18132,3
AXSAM18134,3
AXSAM18911,6
AXSAM18991,6
AXSAM19111,6
AXSAM19133,3
AXSAM19153,3
AXSAM19173,3
AXSAM19214,3
AXSAM19371,6
AXSAM20632,6
AXSAM20911,19
AXSAW16527,6
AXSAW17231,3
AXSAW17272,3
AXSAW18111,6
AXSAW18172,3
AXSAW18284,3
AXSAW19411,6
AXSAW19471,6
AXSAW19474,3
AXSAW19476,6
AXSAW19482,3
AXSAW19491,6
AXSAW19571,6
AXSAW20473,3
AXSAW20481,3
AXSAW20511,9
AXSAW20591,6
AXSAW21171,3
AXSAW21477,3
AXSFA16112,6
AXSFM17413,3
AXSFM17417,3
AXSFM17712,3
AXSFS16217,6
AXSFS16432,6
AXSFS17116,3
AXSFW16002,4
AXSFW16414,3
AXSFW16415,3
AXSM45611,2
AXSM55111,4
AXSS55511,3
AXSW43511,4
AXSW45111,1
AXTAA18712,6
AXTAA20151,6
AXTAA21441,6
AXTAM16547,9
AXTAM17111,15
AXTAM17448,9
AXTAM18215,6
AXTAM18220,3
AXTAM18349,3
AXTAM18353,9
AXTAM19251,3
AXTAM19811,3
AXTAM19845,3
AXTAM19871,3
AXTAM19911,15
AXTAM20461,6
AXTAM20541,6
AXTAS21451,3
AXTAS22311,6
AXTX51111,4
AXTX51711,1
AXTX52111,6
AXTX52211,9
AXUAA15511,5
AXUAA20321,3
AXUAA21412,8
AXUAM16412,6
AXUAM18311,9
AXUAM18321,3
AXUAM19111,9
AXUAM19212,6
AXUAS19112,6
AXUAS20312,3
AXUAS21413,6
AXUAS21611,6
AXUAW15432,6
AXUAW17471,6
AXUAW17552,6
AXUAW18172,6
AXUAW18261,3
AXUAW19541,6
AXUAW19542,3
AXUAW19694,3
AXUDS18211,3
AXUDS21411,5
AXUDW15692,3
AXWAA16464,3
AXWAM18111,3
AXWAM18151,9
AXWAS19163,3
AXWAS19164,3
AXWAS19712,6
AXWAS20271,13
AXWAW15581,6
AXWAW15642,3
AXWAW16140,11
AXWAW16662,3
AXWAW17141,6
AXWAW17469,7
AXWAW18121,6
AXWAW18165,3
AXWAW18182,6
AXWAW18183,9
AXWAW19445,3
AXWAW20412,3
AXWAW20563,3
AXWAW20581,3
AXWAW20591,6
AXWAW21411,9
AXWAW21473,8
AXWAW21491,6
AXWAW21561,12
AXWAW21584,21
AXWW41111,1
AXWW41211,1
AXWW41711,1
AXWW41811,1
